Time in ms;Pos hand in x;
0;0;
0.02;0;
0.04;0;
0.06;0;
0.08;0;
0.09999999;0;
0.12;0;
0.14;0;
0.16;0;
0.18;0;
0.2;0;
0.22;0;
0.24;0;
0.26;0;
0.28;0;
0.3;0;
0.32;0;
0.34;0;
0.36;0;
0.38;0;
0.4;0;
0.42;0;
0.44;0;
0.46;0;
0.48;0;
0.5;0;
0.52;0;
0.54;0;
0.56;0;
0.58;0;
0.6;0;
0.62;0;
0.64;0;
0.66;0;
0.68;0;
0.7;0;
0.72;0;
0.74;0;
0.76;0;
0.78;0;
0.8;0;
0.82;0;
0.84;0;
0.86;0;
0.88;0;
0.9;0;
0.92;0;
0.94;0;
0.96;0;
0.98;0;
1;0;
1.02;0;
1.04;0;
1.06;0;
1.08;0;
1.1;97.86765;
1.12;93.45661;
1.14;89.09795;
1.16;84.97309;
1.18;77.52826;
1.2;74.42233;
1.22;71.44003;
1.24;69.05152;
1.26;66.58762;
1.28;62.84914;
1.3;61.17273;
1.32;59.55994;
1.34;57.82405;
1.36;56.15729;
1.38;54.20628;
1.4;54.01175;
1.42;52.63504;
1.44;51.80476;
1.46;51.09249;
1.48;50.90273;
1.5;50.41706;
1.52;50.22156;
1.54;50.10918;
1.56;49.93302;
1.58;50.04647;
1.6;50.09301;
1.62;50.12574;
1.64;50.13985;
1.66;50.40843;
1.68;50.50552;
1.7;50.79257;
1.72;50.98694;
1.74;51.56094;
1.76;53.12341;
1.78;53.80103;
1.8;54.37706;
1.82;54.40564;
1.84;54.63692;
1.86;54.87611;
1.88;54.906;
1.9;55.16452;
1.92;55.43029;
1.94;55.89244;
1.96;56.4186;
1.98;56.53822;
2;56.69294;
2.02;56.73636;
2.04;56.43559;
2.06;56.3898;
2.08;56.43874;
2.1;56.32218;
2.12;55.85809;
2.14;55.48377;
2.16;55.33874;
2.18;54.70144;
2.2;54.51285;
2.22;54.46989;
2.24;54.33844;
2.26;53.63547;
2.28;53.29201;
2.3;52.91748;
2.32;52.3301;
2.34;51.12375;
2.36;50.03893;
2.38;48.71294;
2.4;48.05671;
2.42;46.52563;
2.44;42.98777;
2.46;41.1074;
2.48;39.28085;
2.5;37.83218;
2.52;36.50738;
2.54;34.38165;
2.56;33.9351;
2.58;33.38048;
2.6;33.47928;
2.62;33.4992;
2.64;33.18007;
2.66;33.04874;
2.68;32.99379;
2.7;32.88726;
2.72;32.85275;
2.74;32.84391;
2.76;32.85524;
2.78;32.87017;
2.8;32.93195;
2.82;33.44182;
2.84;33.73361;
2.86;34.02082;
2.88;34.26076;
2.9;34.48112;
2.92;34.97108;
2.94;35.1307;
2.96;35.18491;
2.98;35.26487;
3;35.329;
3.02;35.38262;
3.04;35.38098;
3.06;35.32009;
3.08;35.22865;
3.1;35.12204;
3.12;34.7698;
3.14;34.6502;
3.16;34.44894;
3.18;34.14968;
3.2;33.83057;
3.22;33.33895;
3.24;33.10178;
3.26;32.93448;
3.28;32.73281;
3.3;32.64159;
3.32;32.62098;
3.34;32.64241;
3.36;32.7198;
3.38;32.85541;
3.4;33.13674;
3.42;33.34272;
3.44;33.53339;
3.46;33.68523;
3.48;33.97461;
3.5;34.37246;
3.52;34.46559;
3.54;34.60318;
3.56;34.7313;
3.58;34.80877;
3.6;34.87093;
3.62;34.80878;
3.64;34.73822;
3.66;34.59589;
3.68;34.39133;
3.7;33.98864;
3.72;33.6705;
3.74;33.29971;
3.76;32.93142;
3.78;32.51258;
3.8;31.68596;
3.82;31.20896;
3.84;31.00243;
3.86;30.51276;
3.88;30.38485;
3.9;29.41478;
3.92;29.07655;
3.94;28.37187;
3.96;27.98364;
3.98;27.1066;
4;26.54231;
4.02;26.02944;
4.04;25.8371;
4.06;25.39545;
4.08;24.60443;
4.1;24.28092;
4.12;23.91494;
4.14;23.35994;
4.16;22.98853;
4.18;22.24651;
4.2;21.79233;
4.22;21.90751;
4.24;21.64046;
4.26;20.96808;
4.28;20.11087;
4.3;19.74758;
4.32;19.5451;
4.34;19.39105;
4.36;19.20741;
4.38;19.07222;
