Time in ms;Pos hand in x;
0;0;
0.02;0;
0.04;0;
0.06;0;
0.08;0;
0.09999999;0;
0.12;0;
0.14;0;
0.16;0;
0.18;0;
0.2;0;
0.22;0;
0.24;0;
0.26;0;
0.28;0;
0.3;0;
0.32;0;
0.34;0;
0.36;0;
0.38;0;
0.4;0;
0.42;0;
0.44;0;
0.46;0;
0.48;136.4406;
0.5;132.6008;
0.52;127.3148;
0.54;121.8186;
0.56;115.8663;
0.58;109.7626;
0.6;81.72722;
0.62;78.72332;
0.64;75.24905;
0.66;61.05535;
0.68;51.26748;
0.7;37.53616;
0.72;35.14287;
0.74;30.1076;
0.76;26.13227;
0.78;21.83615;
0.8;15.28909;
0.82;13.6196;
0.84;10.39736;
0.86;7.273314;
0.88;4.266129;
0.9;-0.08456222;
0.92;-2.73525;
0.94;-5.343092;
0.96;-7.525182;
0.98;-10.8699;
1;-12.08991;
1.02;-12.87962;
1.04;-13.3835;
1.06;-13.71641;
1.08;-13.85472;
1.1;-13.82846;
1.12;-13.66492;
1.14;-13.52061;
1.16;-13.29029;
1.18;-13.07833;
1.2;-13.12393;
1.22;-13.24037;
1.24;-13.39754;
1.26;-13.58357;
1.28;-13.95446;
1.3;-14.05494;
1.32;-14.08171;
1.34;-14.07155;
1.36;-13.83963;
1.38;-10.20179;
1.4;-8.427986;
1.42;-4.177834;
1.44;1.686286;
1.46;13.22774;
1.48;17.68673;
1.5;27.83035;
1.52;33.40027;
1.54;45.60855;
1.56;77.62859;
1.58;90.53027;
1.6;103.0162;
1.62;114.0759;
1.64;125.3488;
1.66;146.4799;
1.68;150.2589;
1.7;150.3377;
1.72;150.3377;
1.74;146.5241;
1.76;153.2165;
1.78;0;
1.8;0;
1.82;0;
1.84;0;
1.86;0;
1.88;0;
1.9;0;
1.92;0;
1.94;0;
1.96;0;
1.98;0;
2;0;
2.02;0;
2.04;0;
2.06;0;
2.08;0;
2.1;0;
2.12;0;
2.14;0;
2.16;0;
2.18;0;
2.2;0;
2.22;0;
2.24;0;
2.26;0;
2.28;0;
2.3;0;
2.32;0;
2.34;0;
2.36;0;
2.38;0;
2.4;0;
2.42;0;
2.44;0;
2.46;0;
2.48;0;
2.5;0;
2.52;0;
2.54;0;
2.56;0;
2.58;0;
2.6;0;
2.62;0;
2.64;0;
2.66;0;
2.68;0;
2.7;0;
2.72;0;
2.74;0;
2.76;0;
2.78;0;
2.8;0;
2.82;0;
2.84;0;
2.86;0;
2.88;0;
2.9;0;
2.92;0;
2.94;0;
2.96;0;
2.98;0;
3;0;
3.02;0;
3.04;0;
3.06;0;
3.08;0;
3.1;0;
3.12;0;
3.14;0;
3.16;0;
3.18;0;
3.2;0;
3.22;0;
3.24;0;
3.26;0;
3.28;0;
3.3;0;
3.32;0;
3.34;0;
3.36;0;
3.38;0;
3.4;0;
3.42;0;
3.44;0;
3.46;0;
3.48;0;
3.5;0;
3.52;0;
