Time in ms;Pos hand in x;Pos hand in z;
0;0;0;
0.02;0;0;
0.04;8.846827;14.47577;
0.06;8.846827;14.47577;
0.08;8.846827;14.47577;
0.09999999;8.846827;14.47577;
0.12;8.846827;14.47577;
0.14;8.846827;14.47577;
0.16;8.573767;14.69802;
0.18;8.573767;14.69802;
0.2;8.573767;14.69802;
0.22;8.002809;15.15808;
0.24;7.29524;15.57945;
0.26;6.484392;16.40816;
0.28;5.299034;17.85507;
0.3;4.305877;18.84762;
0.32;3.704013;19.45817;
0.34;1.02635;23.33907;
0.36;-0.2374821;25.56619;
0.38;-0.8887875;26.38036;
0.4;-2.233672;28.00602;
0.42;-3.558333;29.49533;
0.44;-5.448444;33.54009;
0.46;-7.326843;34.77591;
0.48;-8.091646;35.01772;
0.5;-8.997312;34.98407;
0.52;-9.269585;34.94596;
0.54;-10.04535;34.38424;
0.56;-10.64927;32.59629;
0.58;-10.1577;30.51303;
0.6;-9.862326;29.1994;
0.62;-9.787956;25.67602;
0.64;-8.055598;16.40944;
0.66;-6.23772;10.71018;
0.68;-5.671421;7.227297;
0.7;-3.783542;-0.02333515;
0.72;-1.424445;-7.528919;
0.74;3.850656;-19.61375;
0.76;5.721434;-28.3663;
0.78;9.163811;-36.00557;
0.8;11.3088;-44.62191;
0.82;13.40956;-56.34689;
0.84;15.62177;-63.00964;
0.86;17.71483;-69.36481;
0.88;17.97576;-72.15124;
0.9;19.35938;-76.9325;
0.92;20.59527;-86.15961;
0.94;21.97969;-90.07307;
0.96;22.28247;-91.91719;
0.98;22.922;-95.29962;
1;23.15693;-98.64892;
1.02;23.77393;-103.53;
1.04;24.2724;-106.3164;
1.06;24.59715;-108.8388;
1.08;24.72655;-111.8099;
1.1;24.72689;-112.7983;
1.12;24.48452;-116.5531;
1.14;24.39475;-118.503;
1.16;24.27933;-119.6626;
1.18;24.2221;-121.8739;
1.2;24.11886;-124.4214;
1.22;24.38278;-129.5839;
1.24;24.42438;-130.6272;
