Time in ms;Pos hand in x;Pos hand in z;
0.04;0;0;
0.06;0;0;
0.08;0;0;
0.09999999;0;0;
0.12;0;0;
0.14;0;0;
0.16;0;0;
0.18;0;0;
0.2;0;0;
0.22;0;0;
0.24;0;0;
0.26;0;0;
0.28;0;0;
0.3;0;0;
0.32;0;0;
0.34;0;0;
0.36;0;0;
0.38;0;0;
0.4;0;0;
0.42;0;0;
0.44;0;0;
0.46;0;0;
0.48;0;0;
0.5;0;0;
0.52;0;0;
0.54;0;0;
0.56;127.0913;-8.38195;
0.58;130.3921;-4.535337;
0.6;129.6607;-2.125306;
0.62;125.5218;4.419124;
0.64;122.7057;8.212048;
0.66;117.4142;13.12288;
0.68;114.8715;13.99067;
0.7;110.1734;15.27891;
0.72;105.8785;15.96051;
0.74;101.2716;14.12775;
0.76;97.88312;11.84203;
0.78;94.86447;10.22896;
0.8;93.26374;9.6988;
0.82;91.26968;6.93018;
0.84;87.89532;3.71208;
0.86;85.27101;-5.850881;
0.88;81.76957;-4.078528;
0.9;78.47633;-2.860298;
0.92;75.10226;-1.880138;
0.94;71.56213;-0.9622763;
0.96;67.84158;-0.05905363;
0.98;61.82885;1.427491;
1;57.89456;2.441682;
1.02;54.18205;3.476037;
1.04;52.35319;4.072848;
1.06;48.75892;5.37183;
1.08;43.9963;7.606126;
1.1;41.43864;8.995716;
1.12;39.03127;10.13765;
1.14;36.6532;11.12711;
1.16;35.38372;11.46217;
1.18;33.12749;11.86796;
1.2;28.34253;11.59846;
1.22;27.18283;11.51731;
1.24;24.78275;11.24505;
1.26;22.12259;11.16297;
1.28;19.18574;11.36321;
1.3;15.0395;12.12626;
1.32;12.23895;12.40213;
1.34;9.621631;12.49518;
1.36;7.043104;12.76054;
1.38;5.893712;12.90525;
1.4;1.706615;13.44469;
1.42;0.1171953;13.945;
1.44;-0.5247512;14.20997;
1.46;-1.816563;15.00961;
1.48;-2.678524;15.39303;
1.5;-3.272481;15.79519;
1.52;-3.623222;16.02275;
1.54;-3.727979;16.16898;
1.56;-3.669824;16.26311;
1.58;-3.584455;16.34019;
1.6;-3.075214;16.55282;
1.62;-0.3290716;16.2877;
1.64;-0.3290716;16.2877;
1.66;0.5750118;16.03033;
1.68;3.477972;15.48928;
1.7;5.235619;15.28608;
1.72;6.084699;15.25299;
1.74;7.79299;15.16573;
1.76;9.551963;15.06533;
1.78;12.13831;14.9929;
1.8;13.88691;15.04035;
1.82;15.46573;15.07567;
1.84;16.90611;15.05156;
1.86;17.55879;15.05147;
1.88;20.09665;14.80297;
1.9;20.68208;14.68383;
1.92;21.67993;14.42635;
1.94;22.64769;14.04237;
1.96;23.46976;13.57959;
1.98;24.49911;12.69931;
2;24.96997;11.53601;
2.02;25.05349;10.26896;
2.04;24.95583;9.403286;
2.06;23.95373;7.44396;
2.08;18.90096;3.546467;
2.1;16.85836;2.514482;
2.12;12.63136;0.9138604;
2.14;7.380766;0.1143755;
2.16;1.447945;-0.3541504;
2.18;-1.484008;-0.2816597;
2.2;-13.69538;1.370518;
2.22;-16.57054;2.26034;
2.24;-21.68322;5.101134;
2.26;-26.25329;9.01248;
2.28;-29.83858;14.3773;
2.3;-33.90491;23.56675;
2.32;-35.12721;30.74001;
2.34;-35.51179;39.31835;
2.36;-35.37873;43.74193;
2.38;-34.33248;52.2363;
2.4;-32.6457;65.15204;
2.42;-31.56293;72.82957;
2.44;-30.52241;77.63542;
2.46;-27.4582;94.812;
2.48;-26.60409;99.5451;
2.5;-26.02465;102.1692;
2.52;-25.60003;106.6647;
2.54;-25.5341;110.9005;
2.56;-25.00154;116.0131;
2.58;-24.75196;118.8875;
2.6;-24.59493;120.6799;
2.62;-24.84297;123.1192;
2.64;-24.98499;124.01;
2.66;-24.7614;126.1601;
2.68;-24.85168;126.3901;
2.7;-24.52282;126.1871;
2.72;-24.41554;126.0431;
2.74;-24.41554;126.0431;
2.76;-23.66866;119.7191;
2.78;-23.66866;119.7191;
2.8;-22.31852;113.4486;
2.82;-19.41138;94.45384;
2.84;-16.93442;81.3566;
2.86;-16.00356;75.99197;
2.88;-14.66291;66.03224;
2.9;-14.89359;53.09851;
2.92;-17.05217;44.59967;
2.94;-18.40462;40.87978;
2.96;-21.33075;35.11429;
2.98;-25.91963;30.95352;
3;-34.14797;26.56416;
3.02;-40.39658;24.54693;
3.04;-43.49862;23.86029;
3.06;-48.55648;23.59138;
3.08;-51.27153;23.54692;
3.1;-62.82779;24.56097;
3.12;-64.89792;25.70571;
3.14;-73.71965;22.99322;
3.16;-77.49625;23.15785;
3.18;-79.29298;23.14143;
3.2;-80.72141;23.69973;
3.22;-82.97565;24.79603;
3.24;-84.95588;25.50431;
3.26;-87.34449;25.59145;
3.28;-88.38532;24.70119;
3.3;-89.75565;23.47127;
3.32;-89.94212;22.34222;
3.34;-87.5574;19.11101;
3.36;-85.8856;18.20387;
3.38;-81.69205;15.95758;
3.4;-76.49673;13.08722;
3.42;-73.52955;11.47713;
3.44;-58.35036;4.391388;
3.46;-53.36879;2.6764;
3.48;-43.1841;-0.2089466;
3.5;-33.06807;-3.868628;
3.52;-28.399;-5.981164;
3.54;-18.63728;-10.06997;
3.56;-6.79547;-15.56828;
3.58;-0.5407414;-20.11045;
3.6;3.742852;-23.64939;
3.62;4.997593;-25.30401;
3.64;5.091975;-28.79019;
3.66;-2.280947;-34.42341;
3.68;-2.280947;-34.42341;
3.7;-8.723519;-35.85664;
3.72;-20.8229;-36.70521;
3.74;-24.97412;-36.52186;
3.76;-33.22741;-35.75263;
3.78;-40.6393;-34.67089;
3.8;-46.84121;-33.63713;
3.82;-49.35629;-33.01068;
3.84;-56.4766;-31.47129;
3.86;-57.25679;-31.378;
3.88;-58.1387;-31.33593;
3.9;-58.43933;-31.31293;
3.92;-58.68647;-31.25953;
3.94;-58.6274;-31.26204;
3.96;-57.76286;-31.51738;
3.98;-57.10067;-31.79619;
4;-55.70839;-32.51513;
4.02;-53.54944;-33.10218;
4.04;-48.55029;-34.36334;
4.06;-44.32043;-35.05505;
4.08;-42.26738;-35.64325;
4.1;-37.10041;-36.54976;
4.12;-31.64042;-37.85498;
4.14;-26.11133;-39.19258;
4.16;-20.41635;-40.61478;
4.18;-15.19455;-42.34055;
4.2;-12.80483;-43.16821;
4.22;-3.356101;-45.55553;
4.24;-0.0007464571;-46.0802;
4.26;5.950334;-46.85896;
4.28;11.54759;-47.4058;
4.3;19.08807;-48.12934;
4.32;23.79734;-48.38982;
4.34;26.19931;-48.50373;
4.36;30.59406;-48.86146;
4.38;34.85203;-48.84181;
4.4;40.48083;-48.68636;
4.42;43.65755;-48.38146;
4.44;45.04305;-48.26969;
4.46;47.43882;-48.24383;
4.48;49.56725;-48.0027;
4.5;51.54776;-47.58147;
4.52;52.64552;-47.17976;
4.54;54.65097;-45.72743;
4.56;56.68189;-43.27762;
4.58;59.26998;-37.19193;
4.6;60.27595;-32.01985;
4.62;60.54276;-28.84717;
4.64;60.47708;-21.33451;
4.66;59.21263;-11.86189;
4.68;55.52033;4.497734;
4.7;54.04507;10.37061;
4.72;51.30866;22.73145;
4.74;48.13771;40.86983;
4.76;47.26799;46.72803;
4.78;45.62768;56.97896;
4.8;45.0878;61.61475;
4.82;44.49708;69.51173;
4.84;44.81489;78.92812;
4.86;46.29754;84.51048;
4.88;47.50182;89.79465;
4.9;48.08574;92.24494;
4.92;48.38385;98.93878;
4.94;47.40694;102.984;
4.96;45.4332;106.8391;
4.98;44.24064;108.6327;
5;41.13527;112.4874;
5.02;36.65914;116.7164;
5.04;32.97895;119.2092;
5.06;31.62068;120.5121;
5.08;28.9236;122.5584;
5.1;27.21042;124.8628;
5.12;25.19409;126.1523;
5.14;24.84665;126.295;
5.16;24.16794;127.0234;
5.18;23.07497;127.3807;
5.2;22.21963;127.5615;
5.22;17.52144;127.9122;
5.24;12.75477;128.504;
5.26;7.238523;129.1205;
5.28;4.015803;129.3945;
5.3;-3.789333;130.643;
5.32;-16.50742;132.4996;
5.34;-23.98757;133.5298;
5.36;-29.02468;134.2764;
5.38;-38.35505;134.9366;
5.4;-47.43027;136.7079;
5.42;-61.67701;139.6698;
5.44;-65.52272;140.6322;
5.46;-73.6707;142.7228;
5.48;-81.4115;142.5801;
5.5;-84.88541;143.3543;
5.52;-94.55595;143.2795;
5.54;-99.22481;143.6033;
5.56;-102.9308;145.7343;
5.58;-107.1635;147.5421;
5.6;-112.015;148.3524;
5.62;-113.2154;148.638;
5.64;-113.8357;148.5612;
5.66;-114.1471;150.3674;
5.68;-113.1658;150.1274;
5.7;-112.1814;149.1121;
5.72;-110.8876;149.5383;
5.74;-106.2753;146.5597;
5.76;-104.1699;145.659;
5.78;-92.96535;147.2701;
5.8;-90.13805;148.1859;
5.82;-82.94419;149.333;
5.84;-74.14931;151.3244;
5.86;-69.68237;152.5722;
5.88;-46.51498;155.1736;
5.9;-39.91279;155.8356;
5.92;-27.46197;155.4904;
5.94;-22.2386;154.27;
5.96;-10.64075;153.2484;
5.98;5.615376;151.5635;
6;16.82935;152.0712;
6.02;22.83895;152.8972;
6.04;34.68955;153.2772;
6.06;44.37244;153.9645;
6.08;56.63997;154.8542;
6.1;60.31512;154.6284;
6.12;66.93886;153.9794;
6.14;74.04557;153.5214;
6.16;79.93729;151.6619;
6.18;83.64169;149.8558;
6.2;84.23364;148.949;
6.22;84.46583;147.8629;
6.24;84.47002;147.4108;
6.26;84.11357;139.8451;
6.28;84.28349;138.1401;
6.3;85.19536;134.5363;
6.32;84.41577;132.6843;
6.34;81.90771;127.6888;
6.36;79.1395;123.5342;
