Time in ms;Pos hand in x;Pos hand in z;
0;0;0;
0.02;0;0;
0.04;0;0;
0.06;0;0;
0.08;0;0;
0.09999999;0;0;
0.12;0;0;
0.14;0;0;
0.16;0;0;
0.18;0;0;
0.2;0;0;
0.22;0;0;
0.24;115.8073;-4.889257;
0.26;108.9777;-2.29004;
0.28;104.3805;0.3342035;
0.3;99.38884;3.734637;
0.32;97.24294;5.269788;
0.34;93.42406;8.501862;
0.36;87.19073;14.3396;
0.38;85.84123;15.79304;
0.4;83.25748;18.46608;
0.42;80.75105;20.97921;
0.44;78.37769;23.2064;
0.46;74.58952;25.51579;
0.48;71.89377;26.60245;
0.5;69.09542;27.70682;
0.52;66.07914;28.25884;
0.54;61.18137;28.65341;
0.56;57.41023;28.58088;
0.58;53.41022;28.24274;
0.6;49.20883;27.61846;
0.62;47.06032;27.14833;
0.64;37.42963;24.11302;
0.66;32.1307;22.2317;
0.68;29.29567;21.04294;
0.7;23.31925;18.53281;
0.72;17.14114;15.78379;
0.74;3.764226;8.37989;
0.76;0.2896022;6.481619;
0.78;-6.991986;2.36081;
0.8;-14.78276;-1.85354;
0.82;-22.77454;-5.648135;
0.84;-35.6853;-12.18526;
0.86;-44.40325;-16.10195;
0.88;-53.13287;-19.1142;
0.9;-57.43108;-20.53486;
0.92;-66.17699;-23.09597;
0.94;-82.25283;-26.21476;
0.96;-89.25392;-27.20349;
0.98;-92.51561;-27.55014;
1;-98.54784;-28.34993;
1.02;-103.9594;-28.46553;
1.04;-110.5378;-28.82767;
1.06;-113.8955;-29.02793;
1.08;-116.0635;-28.4761;
1.1;-117.2221;-28.23287;
1.12;-118.73;-28.44517;
1.14;-119.1384;-28.72754;
1.16;-119.2706;-28.91884;
1.18;-119.2401;-29.07432;
1.2;-119.1999;-29.1916;
1.22;-118.9539;-29.844;
1.24;-118.8432;-29.99699;
1.26;-118.8057;-30.04601;
1.28;-118.6357;-30.23944;
1.3;-118.2896;-30.30991;
