Time in ms;Pos hand in x;
0;0;
0.02;0;
0.04;95.96749;
0.06;95.96749;
0.08;95.96749;
0.09999999;95.96749;
0.12;95.96749;
0.14;95.96749;
0.16;95.96749;
0.18;95.96749;
0.2;78.69575;
0.22;68.51169;
0.24;63.84283;
0.26;55.3019;
0.28;41.23008;
0.3;35.45092;
0.32;33.0572;
0.34;28.78938;
0.36;25.21012;
0.38;20.02652;
0.4;18.11652;
0.42;17.21187;
0.44;15.43103;
0.46;13.43439;
0.48;10.23805;
0.5;8.38268;
0.52;6.164653;
0.54;4.721895;
0.56;-1.52358;
0.58;-5.152288;
0.6;-8.775589;
0.62;-12.14372;
0.64;-13.88195;
0.66;-19.25927;
0.68;-20.08244;
0.7;-21.51089;
0.72;-21.99435;
0.74;-22.30383;
0.76;-21.98775;
0.78;-21.07879;
0.8;-19.89991;
0.82;-18.99913;
0.84;-18.56532;
0.86;-16.5513;
0.88;-15.64084;
0.9;-14.50687;
0.92;-13.3159;
0.94;-12.64855;
0.96;-9.757073;
0.98;-8.001741;
1;-6.163366;
1.02;-5.100695;
1.04;-3.207711;
1.06;0.964838;
1.08;2.919264;
1.1;3.855088;
1.12;5.961555;
1.14;10.41293;
1.16;12.76784;
1.18;15.17116;
1.2;16.40955;
1.22;18.70679;
1.24;23.69918;
1.26;26.09638;
1.28;28.67311;
1.3;29.90331;
1.32;32.36282;
1.34;36.83453;
1.36;37.50003;
1.38;37.42973;
1.4;37.23987;
1.42;37.12557;
1.44;36.62924;
1.46;36.66714;
1.48;36.59528;
1.5;36.43941;
1.52;36.4525;
1.54;35.75168;
1.56;35.16325;
1.58;34.43616;
1.6;33.63787;
1.62;33.36014;
1.64;31.98243;
1.66;31.37176;
1.68;30.8973;
1.7;30.57166;
1.72;30.18654;
1.74;29.95777;
1.76;29.79387;
1.78;29.63328;
1.8;29.46979;
1.82;29.30176;
1.84;29.30176;
1.86;29.20626;
1.88;29.08998;
1.9;28.96964;
1.92;28.76034;
1.94;28.56268;
1.96;28.25942;
1.98;27.87918;
2;27.56551;
2.02;26.86323;
2.04;26.05075;
2.06;25.21768;
2.08;24.52682;
2.1;24.2054;
2.12;23.53964;
2.14;23.51867;
2.16;23.75649;
2.18;24.14326;
2.2;25.71782;
2.22;27.19026;
2.24;28.64401;
2.26;30.29678;
2.28;32.2153;
2.3;35.03428;
2.32;36.64234;
2.34;38.09828;
2.36;39.42519;
2.38;40.54908;
2.4;42.0946;
2.42;43.01789;
2.44;43.89666;
2.46;44.81501;
2.48;45.62638;
2.5;46.47396;
2.52;46.8868;
2.54;47.17997;
2.56;47.37224;
2.58;47.47983;
2.6;47.51962;
2.62;47.4617;
2.64;47.21834;
2.66;46.75687;
2.68;46.28065;
2.7;45.53566;
2.72;45.15302;
2.74;44.75803;
2.76;44.25009;
2.78;43.24792;
2.8;42.46161;
2.82;41.35603;
2.84;40.07444;
2.86;38.65151;
2.88;36.26264;
2.9;34.71545;
2.92;33.22901;
2.94;31.83291;
2.96;30.57693;
2.98;29.42448;
3;28.02904;
3.02;27.12522;
3.04;26.00002;
3.06;24.92088;
3.08;23.282;
3.1;22.35806;
3.12;21.62171;
3.14;20.7777;
3.16;20.06539;
3.18;18.76057;
3.2;18.49769;
3.22;18.02055;
3.24;17.62191;
3.26;17.12038;
3.28;17.0089;
3.3;16.96082;
3.32;16.89705;
3.34;16.9036;
3.36;17.03209;
3.38;17.21007;
3.4;17.36683;
3.42;17.60262;
3.44;17.88434;
3.46;18.62877;
3.48;19.09515;
3.5;19.33276;
3.52;19.86026;
3.54;20.3473;
3.56;21.45113;
3.58;21.68892;
3.6;22.13864;
3.62;22.52312;
3.64;22.93432;
3.66;23.81797;
3.68;24.06056;
3.7;24.47373;
3.72;25.05037;
3.74;25.60497;
3.76;26.99417;
3.78;27.26013;
3.8;27.87662;
3.82;28.33854;
3.84;28.62097;
3.86;28.90512;
3.88;28.95263;
3.9;29.00378;
3.92;29.0635;
3.94;29.21825;
3.96;29.26047;
3.98;29.25748;
4;29.32091;
4.02;29.41066;
