Time in ms;Pos hand in x;Pos hand in z;
0;0;0;
0.02;0;0;
0.04;19.83372;10.0637;
0.06;19.83372;10.0637;
0.08;19.83372;10.0637;
0.09999999;19.83372;10.0637;
0.12;15.89007;10.11623;
0.14;12.09813;9.881901;
0.16;8.809496;9.648666;
0.18;3.375999;9.200536;
0.2;3.375999;9.200536;
0.22;0.5682254;8.509664;
0.24;-1.36619;8.470372;
0.26;-2.921152;8.144602;
0.28;-6.353539;6.664778;
0.3;-7.718014;6.020067;
0.32;-8.925583;5.202852;
0.34;-10.11236;4.348869;
0.36;-11.21236;3.665037;
0.38;-11.21236;3.665037;
0.4;-13.80216;0.9607341;
0.42;-14.39157;0.1925433;
0.44;-14.39157;0.1925433;
0.46;-14.99669;-1.224044;
0.48;-16.4632;-5.600035;
0.5;-16.80537;-7.879301;
0.52;-17.17396;-11.00987;
0.54;-16.83569;-14.65205;
0.56;-17.015;-19.72059;
0.58;-16.23518;-32.63319;
0.6;-16.23518;-32.63319;
0.62;-15.78118;-40.94163;
0.64;-14.40152;-49.58185;
0.66;-12.55657;-67.2627;
0.68;-12.36663;-75.34595;
0.7;-12.04128;-82.76298;
0.72;-12.07916;-89.47828;
0.74;-11.5818;-95.09156;
0.76;-9.911493;-103.5907;
0.78;-8.509368;-105.9074;
0.8;-7.353276;-107.8405;
0.82;-7.353276;-107.8405;
0.84;-5.903881;-108.9543;
0.86;-1.72529;-108.1305;
0.88;0.1705261;-107.0605;
0.9;2.642786;-105.0654;
0.92;4.813564;-102.9218;
0.94;7.38129;-99.86042;
0.96;11.23851;-92.20539;
0.98;12.94164;-87.6813;
1;14.01211;-83.64651;
1.02;14.01211;-83.64651;
1.04;15.50574;-79.64996;
1.06;19.82025;-71.69176;
1.08;22.64122;-68.18361;
1.1;25.57263;-65.66679;
1.12;29.03591;-63.03391;
1.14;32.40805;-61.29581;
1.16;39.39272;-58.22535;
1.18;43.09545;-55.94388;
1.2;43.09545;-55.94388;
