Time in ms;Pos hand in x;
0.68;167.8716;
0.7;167.8716;
0.72;167.5549;
0.74;100.166;
0.76;78.04225;
0.78;55.07201;
0.8;34.69101;
0.82;0.1807944;
0.84;-15.62918;
0.86;-31.27439;
0.88;-45.64811;
0.9;-59.46522;
0.92;-83.99165;
0.94;-92.92921;
0.96;-92.92921;
0.98;-104.0223;
1;-114.1292;
1.02;-128.91;
1.04;-135.0229;
1.06;-141.3307;
1.08;-146.8659;
1.1;-151.1098;
1.12;-157.821;
1.14;-159.6292;
1.16;-160.9865;
1.18;-161.3166;
1.2;-161.2584;
1.22;-157.3595;
1.24;-152.9944;
1.26;-152.9944;
1.28;-140.6329;
1.3;-132.0649;
1.32;-121.6593;
1.34;-111.5748;
1.36;-100.5507;
1.38;-90.61567;
1.4;-62.39923;
1.42;-47.32339;
1.44;-31.36682;
1.46;-15.62727;
1.48;1.050157;
1.5;32.88595;
1.52;49.55966;
1.54;64.75404;
1.56;78.9179;
1.58;93.26798;
1.6;120.0094;
1.62;130.6601;
1.64;141.7491;
1.66;141.7491;
1.68;150.615;
1.7;167.0085;
1.72;173.9684;
1.74;180.6844;
1.76;185.5632;
1.78;189.9872;
1.8;197.3746;
1.82;198.5925;
1.84;199.9938;
1.86;201.2213;
1.88;200.7827;
1.9;198.7442;
1.92;195.2862;
1.94;190.8087;
1.96;184.57;
1.98;168.347;
2;168.347;
2.02;158.6799;
2.04;145.8214;
2.06;137.4344;
2.08;109.1578;
2.1;93.83862;
2.12;78.59663;
2.14;63.04607;
2.16;48.12218;
2.18;17.19598;
2.2;8.416717;
2.22;-4.58538;
2.24;-16.42299;
2.26;-28.31116;
2.28;-50.02232;
2.3;-57.86779;
2.32;-65.01832;
2.34;-70.57469;
2.36;-70.57469;
2.38;-80.78026;
2.4;-84.11563;
2.42;-87.23568;
2.44;-88.99142;
2.46;-91.09038;
2.48;-91.34486;
2.5;-91.39481;
2.52;-90.90857;
2.54;-89.87467;
2.56;-84.77959;
2.58;-81.0044;
2.6;-81.0044;
2.62;-81.0044;
2.64;-66.13496;
2.66;-53.89136;
2.68;-45.98031;
2.7;-38.28067;
2.72;-38.28067;
2.74;-30.30561;
2.76;-13.76578;
2.78;-5.48211;
2.8;1.963219;
2.82;9.728678;
2.84;17.2335;
2.86;32.08217;
2.88;39.68437;
2.9;46.27249;
2.92;55.28918;
2.94;62.89079;
2.96;80.76123;
2.98;89.89812;
3;99.1304;
3.02;107.9214;
3.04;125.8975;
3.06;125.8975;
3.08;144.1345;
3.1;144.1345;
3.12;153.7487;
