Time in ms;Pos hand in x;Pos hand in z;
0;0;0;
0.02;0;0;
0.04;0;0;
0.06;0;0;
0.08;0;0;
0.09999999;0;0;
0.12;0;0;
0.14;0;0;
0.16;0;0;
0.18;0;0;
0.2;0;0;
0.22;0;0;
0.24;0;0;
0.26;0;0;
0.28;0;0;
0.3;0;0;
0.32;0;0;
0.34;0;0;
0.36;0;0;
0.38;0;0;
0.4;0;0;
0.42;0;0;
0.44;0;0;
0.46;0;0;
0.48;0;0;
0.5;0;0;
0.52;0;0;
0.54;0;0;
0.56;0;0;
0.58;0;0;
0.6;59.65295;-47.53843;
0.62;55.05975;-45.73932;
0.64;35.99032;-40.1261;
0.66;27.78346;-38.51039;
0.68;20.37946;-37.65588;
0.7;16.91775;-37.48836;
0.72;10.06125;-37.71158;
0.74;-2.948013;-39.9357;
0.76;-6.089862;-40.64605;
0.78;-12.35058;-41.8751;
0.8;-18.38586;-43.01413;
0.82;-24.60237;-44.27579;
0.84;-34.10479;-46.25221;
0.86;-40.25657;-46.90746;
0.88;-46.51928;-47.9165;
0.9;-52.80528;-48.73652;
0.92;-62.02533;-49.69366;
0.94;-68.0953;-49.78996;
0.96;-74.43048;-49.90949;
0.98;-80.67049;-50.03782;
1;-86.78535;-49.75856;
1.02;-96.62556;-49.1943;
1.04;-103.394;-48.42276;
1.06;-106.3081;-47.6473;
1.08;-112.6776;-46.49328;
1.1;-118.6651;-45.21599;
1.12;-127.0021;-42.15917;
1.14;-133.2083;-40.91008;
1.16;-138.6721;-39.26525;
1.18;-143.9114;-36.72541;
1.2;-149.3127;-35.0128;
1.22;-155.3785;-32.09334;
1.24;-159.3043;-30.1781;
1.26;-162.5634;-28.93795;
1.28;-163.5495;-28.68837;
1.3;-164.7115;-28.22892;
1.32;-166.0539;-27.49191;
1.34;-165.3351;-27.60029;
1.36;-164.5654;-27.98851;
1.38;-162.1523;-29.08151;
1.4;-158.8784;-30.53191;
1.42;-151.3361;-32.84666;
