Time in ms;Pos hand in x;
0;0;
0.02;0;
0.04;-6.258578;
0.06;-6.258578;
0.08;-6.258578;
0.09999999;-6.258578;
0.12;-6.258578;
0.14;-6.258578;
0.16;-6.258578;
0.18;-6.258578;
0.2;-6.258578;
0.22;-6.258578;
0.24;-6.258578;
0.26;-6.258578;
0.28;-6.258578;
0.3;-6.258578;
0.32;-6.258578;
0.34;-6.293609;
0.36;-6.293609;
0.38;-6.340576;
0.4;-6.341037;
0.42;-6.332128;
0.44;-6.337018;
0.46;-6.392237;
0.48;-6.774292;
0.5;-7.321492;
0.52;-7.897171;
0.54;-8.724114;
0.56;-9.127584;
0.58;-11.51662;
0.6;-13.04721;
0.62;-14.3777;
0.64;-16.93264;
0.66;-21.94568;
0.68;-25.62833;
0.7;-28.91447;
0.72;-32.29513;
0.74;-34.68505;
0.76;-36.60075;
0.78;-37.28716;
0.8;-37.58442;
0.82;-37.69117;
0.84;-37.70509;
0.86;-37.61991;
0.88;-36.2807;
0.9;-35.86707;
0.92;-34.55017;
0.94;-33.72515;
0.96;-31.81957;
0.98;-30.93405;
1;-30.7554;
1.02;-30.05976;
1.04;-29.6514;
1.06;-28.95029;
1.08;-28.1995;
1.1;-27.98398;
1.12;-27.45613;
1.14;-26.96679;
1.16;-26.24096;
1.18;-25.89304;
1.2;-25.46264;
1.22;-25.27825;
1.24;-25.27825;
1.26;-24.72408;
1.28;-24.80784;
1.3;-24.70092;
1.32;-24.46463;
1.34;-24.20429;
1.36;-23.56876;
1.38;-23.45643;
1.4;-23.08037;
1.42;-22.43543;
1.44;-20.93941;
1.46;-20.0989;
1.48;-19.00033;
1.5;-18.4819;
1.52;-17.44215;
1.54;-13.7306;
1.56;-12.95009;
1.58;-10.48125;
1.6;-8.123219;
1.62;-6.228055;
1.64;-5.518897;
1.66;-6.395786;
1.68;-5.778166;
1.7;-4.642791;
1.72;-3.562091;
1.74;-2.482107;
1.76;-1.692187;
1.78;-1.494986;
1.8;-1.223231;
1.82;-0.6381454;
1.84;-0.057091;
1.86;0.0550447;
1.88;-0.04848294;
1.9;-0.1307377;
1.92;-0.4195913;
1.94;-0.6903219;
1.96;-0.7984157;
1.98;-0.9030088;
2;-1.454272;
2.02;-2.606966;
2.04;-2.988526;
2.06;-3.229829;
2.08;-2.98578;
2.1;-2.937186;
2.12;-3.61244;
2.14;-4.737627;
2.16;-5.254827;
2.18;-5.383728;
2.2;-5.315647;
2.22;-4.963559;
2.24;-5.155721;
2.26;-5.220585;
2.28;-4.885693;
2.3;-4.882707;
2.32;-6.899912;
2.34;-7.40501;
2.36;-7.793334;
2.38;-7.790145;
2.4;-7.693832;
2.42;-6.726404;
2.44;-5.736329;
2.46;-5.344646;
2.48;-4.657224;
2.5;-4.009815;
2.52;-3.537414;
2.54;-3.475366;
2.56;-3.322822;
2.58;-3.227156;
2.6;-3.127084;
2.62;-2.400376;
2.64;-2.027952;
2.66;-1.745236;
2.68;-1.809855;
2.7;-1.889236;
2.72;-1.918931;
2.74;-1.91555;
2.76;-1.957579;
2.78;-2.005824;
2.8;-2.084444;
2.82;-2.095942;
2.84;-2.114122;
2.86;-2.129967;
2.88;-2.139645;
2.9;-2.170977;
2.92;-2.178156;
2.94;-2.173838;
2.96;-2.130009;
2.98;-1.150574;
3;2.359968;
3.02;2.605214;
3.04;2.855425;
3.06;3.018414;
3.08;3.117633;
3.1;3.366418;
3.12;3.601318;
3.14;3.744386;
3.16;3.789239;
3.18;4.160466;
3.2;4.404821;
3.22;4.443635;
3.24;4.502704;
3.26;4.474105;
3.28;4.647718;
3.3;5.077222;
3.32;5.185472;
3.34;5.288892;
3.36;5.478593;
3.38;5.629828;
3.4;6.085594;
3.42;6.295895;
3.44;6.397414;
3.46;6.572029;
3.48;6.768106;
3.5;7.044345;
3.52;7.417161;
3.54;8.760609;
3.56;9.539865;
3.58;9.033272;
3.6;9.078657;
3.62;9.078657;
3.64;10.62924;
3.66;12.82098;
3.68;19.68604;
3.7;21.8495;
3.72;26.14768;
3.74;30.53858;
3.76;34.33643;
