Time in ms;Pos hand in x;Pos hand in z;
0;0;0;
0.02;42.08185;-21.72159;
0.04;9.83267;-17.92007;
0.06;9.83267;-17.92007;
0.08;9.83267;-17.92007;
0.09999999;9.83267;-17.92007;
0.12;9.83267;-17.92007;
0.14;9.83267;-17.92007;
0.16;9.83267;-17.92007;
0.18;9.83267;-17.92007;
0.2;9.83267;-17.92007;
0.22;8.714051;-17.02417;
0.24;8.714051;-17.02417;
0.26;8.493788;-16.71409;
0.28;7.602892;-15.23071;
0.3;7.5076;-14.59701;
0.32;7.502368;-14.47607;
0.34;7.314455;-13.93659;
0.36;7.404382;-13.40014;
0.38;7.797096;-12.5715;
0.4;7.806767;-12.39617;
0.42;7.955559;-12.0608;
0.44;7.964573;-11.82216;
0.46;7.84563;-11.56623;
0.48;7.696982;-11.05055;
0.5;7.646269;-10.8558;
0.52;7.614317;-10.78426;
0.54;7.472298;-10.7811;
0.56;6.084171;-13.49282;
0.58;5.851665;-17.00586;
0.6;6.746491;-20.34231;
0.62;7.383206;-22.13616;
0.64;7.603134;-26.33253;
0.66;10.9602;-36.99574;
0.68;11.7344;-39.85749;
0.7;12.39938;-45.13271;
0.72;13.12209;-49.75893;
0.74;13.59635;-54.10372;
0.76;13.91719;-60.06156;
0.78;13.82152;-63.90714;
0.8;14.19518;-67.87498;
0.82;14.48172;-71.75701;
0.84;14.35574;-73.50502;
0.86;14.39949;-80.63605;
0.88;14.3874;-84.54388;
0.9;14.79001;-86.28783;
0.92;14.36336;-89.73049;
0.94;14.80686;-93.40006;
0.96;14.02023;-99.1683;
0.98;14.12983;-99.96516;
1;14.3556;-102.1822;
1.02;14.46037;-104.1639;
1.04;14.50002;-104.9507;
1.06;13.66829;-106.8651;
1.08;13.37299;-107.1577;
1.1;13.24266;-107.477;
1.12;13.1864;-107.6099;
1.14;12.74574;-107.9946;
1.16;12.59662;-108.0151;
1.18;12.51759;-108.0048;
1.2;12.3148;-107.9127;
1.22;11.93312;-107.6738;
1.24;10.32415;-104.5071;
1.26;9.909419;-103.1495;
1.28;8.691998;-100.0998;
1.3;7.173098;-95.49882;
1.32;5.742756;-90.89765;
1.34;3.326497;-82.89185;
1.36;1.958255;-76.78943;
1.38;0.9167628;-70.80117;
1.4;-0.4011362;-64.91148;
1.42;-1.029817;-62.07309;
1.44;-2.57895;-50.4641;
1.46;-3.125868;-45.08863;
1.48;-3.32612;-42.33759;
1.5;-3.415534;-36.78208;
1.52;-3.557442;-32.86317;
1.54;-3.707852;-24.20092;
1.56;-3.914688;-22.34845;
1.58;-4.030379;-18.1167;
1.6;-4.371692;-14.10838;
1.62;-3.927963;-9.954142;
1.64;-4.319623;-5.235044;
1.66;-4.653113;-1.444142;
1.68;-4.561032;2.246067;
1.7;-4.817369;5.69385;
1.72;-5.261376;10.31606;
1.74;-5.671406;13.3767;
1.76;-6.413094;16.77036;
1.78;-6.560684;18.44599;
1.8;-7.027533;21.17706;
1.82;-7.280383;27.47389;
1.84;-7.307506;29.05033;
1.86;-7.536819;31.41649;
1.88;-7.668619;33.07004;
1.9;-7.835991;35.54725;
1.92;-7.898696;38.06424;
1.94;-7.621084;40.46604;
1.96;-7.465774;41.88572;
1.98;-7.56142;42.85125;
2;-7.576079;44.19475;
2.02;-7.812071;45.69104;
2.04;-7.557031;46.81654;
2.06;-7.493108;47.10446;
2.08;-7.410916;47.74314;
2.1;-7.175934;48.10684;
2.12;-6.363506;48.98644;
2.14;-6.120054;49.27764;
2.16;-6.066495;49.01945;
2.18;-5.949616;48.5435;
2.2;-6.865201;46.5208;
2.22;-6.276145;44.50974;
2.24;-4.144058;38.42035;
2.26;-3.486464;36.6804;
2.28;-3.419212;32.64088;
2.3;-2.954151;27.99297;
2.32;-1.8297;24.13151;
2.34;0.8997878;17.99458;
2.36;1.311904;12.25896;
2.38;2.378388;6.869867;
2.4;2.545633;4.266853;
2.42;2.7847;-1.087486;
2.44;4.533358;-10.31644;
2.46;4.313241;-15.377;
2.48;4.289221;-17.62313;
2.5;5.733194;-21.83325;
2.52;4.713854;-29.84064;
2.54;5.156026;-32.21371;
2.56;6.004155;-36.22091;
2.58;4.967497;-40.41499;
2.6;4.781242;-43.41895;
2.62;5.126275;-48.8287;
2.64;6.103192;-50.65973;
2.66;6.110984;-51.95089;
2.68;5.763417;-55.17193;
2.7;5.739362;-57.09304;
2.72;6.357576;-62.4649;
2.74;6.666028;-63.63239;
2.76;6.627974;-64.45231;
2.78;6.672506;-66.05591;
2.8;6.572656;-69.20216;
2.82;6.907616;-71.23608;
2.84;7.032936;-73.19422;
2.86;7.083072;-74.50401;
2.88;7.529112;-75.74111;
2.9;8.096391;-76.86253;
2.92;8.462971;-77.83227;
2.94;8.491209;-78.61156;
2.96;8.433424;-78.96582;
2.98;8.358549;-79.06626;
3;8.214932;-79.21636;
3.02;7.974171;-79.40662;
3.04;7.909853;-79.45546;
3.06;7.88543;-79.47401;
3.08;7.846569;-79.50352;
3.1;7.79355;-79.54377;
3.12;7.783598;-79.55133;
3.14;7.70865;-79.57748;
3.16;7.604568;-79.60785;
3.18;7.416599;-79.60819;
3.2;7.172561;-79.54518;
3.22;7.062063;-79.47956;
3.24;7.313803;-79.09562;
3.26;7.582694;-78.47629;
3.28;7.76754;-78.11066;
3.3;7.702883;-76.47224;
3.32;7.385986;-75.04349;
3.34;7.224925;-74.09214;
3.36;7.054204;-72.26507;
3.38;6.579614;-70.58564;
3.4;5.737515;-67.33479;
3.42;5.217391;-64.44267;
3.44;4.674411;-61.6265;
3.46;4.049784;-58.1193;
3.48;3.747302;-54.70552;
3.5;3.294301;-49.09819;
3.52;3.008702;-45.85984;
3.54;2.809379;-42.68588;
3.56;2.722248;-40.94166;
3.58;2.602346;-38.59683;
3.6;2.76415;-31.86255;
3.62;2.955291;-29.2525;
3.64;3.151997;-27.89493;
3.66;3.240326;-25.67404;
3.68;3.512668;-22.51662;
3.7;3.503432;-21.81085;
3.72;3.746625;-19.99608;
3.74;3.938219;-18.7183;
3.76;4.125812;-17.46605;
3.78;4.380051;-15.73235;
3.8;4.490638;-15.36813;
3.82;4.619882;-15.08047;
3.84;4.650728;-14.91603;
3.86;4.660523;-14.86381;
3.88;4.610508;-14.69935;
3.9;4.547376;-14.68215;
3.92;4.469623;-14.66649;
3.94;4.439492;-14.66042;
3.96;4.391654;-14.65078;
3.98;4.326621;-14.63768;
4;4.314444;-14.63523;
4.02;4.293397;-14.63099;
4.04;4.275832;-14.62745;
4.06;4.260942;-14.62445;
4.08;4.216266;-14.65796;
