Time in ms;Pos hand in x;Pos hand in z;
0;0;0;
0.02;0;0;
0.04;0;0;
0.06;0;0;
0.08;0;0;
0.09999999;0;0;
0.12;0;0;
0.14;0;0;
0.16;0;0;
0.18;0;0;
0.2;0;0;
0.22;0;0;
0.24;0;0;
0.26;0;0;
0.28;0;0;
0.3;0;0;
0.32;0;0;
0.34;0;0;
0.36;0;0;
0.38;0;0;
0.4;0;0;
0.42;0;0;
0.44;0;0;
0.46;0;0;
0.48;0;0;
0.5;0;0;
0.52;0;0;
0.54;0;0;
0.56;0;0;
0.58;0;0;
0.6;0;0;
0.62;0;0;
0.64;0;0;
0.66;0;0;
0.68;0;0;
0.7;0;0;
0.72;0;0;
0.74;0;0;
0.76;0;0;
0.78;0;0;
0.8;0;0;
0.82;0;0;
0.84;0;0;
0.86;0;0;
0.88;0;0;
0.9;0;0;
0.92;0;0;
0.94;0;0;
0.96;0;0;
0.98;0;0;
1;0;0;
1.02;0;0;
1.04;0;0;
1.06;0;0;
1.08;43.99547;-59.35886;
1.1;38.76525;-57.39413;
1.12;33.47218;-55.95075;
1.14;12.1727;-52.73324;
1.16;7.118097;-52.58668;
1.18;-2.464509;-52.75163;
1.2;-11.32437;-53.19732;
1.22;-23.92144;-54.9199;
1.24;-31.40935;-56.36063;
1.26;-38.31522;-58.25594;
1.28;-41.76087;-59.01844;
1.3;-48.72089;-61.22505;
1.32;-61.75187;-64.15585;
1.34;-64.88763;-64.91492;
1.36;-70.69175;-65.9205;
1.38;-76.61808;-67.25701;
1.4;-79.27037;-67.50407;
1.42;-89.36901;-68.54893;
1.44;-91.75453;-68.47265;
1.46;-95.64063;-67.84853;
1.48;-99.3979;-67.63395;
1.5;-102.5985;-67.41633;
1.52;-106.4176;-67.47511;
1.54;-108.2966;-67.74381;
1.56;-109.0718;-67.69641;
1.58;-110.2265;-67.367;
1.6;-110.8234;-67.01794;
1.62;-111.1479;-66.74867;
1.64;-111.1657;-66.59949;
