Time in ms;Pos hand in x;Pos hand in z;
0;0;0;
0.02;0;0;
0.04;0;0;
0.06;0;0;
0.08;0;0;
0.09999999;0;0;
0.12;0;0;
0.14;0;0;
0.16;0;0;
0.18;0;0;
0.2;0;0;
0.22;0;0;
0.24;0;0;
0.26;90.97623;-18.11292;
0.28;90.97623;-18.11292;
0.3;90.95634;-18.10723;
0.32;76.70839;-17.48392;
0.34;53.1759;-14.81496;
0.36;28.65282;-9.057072;
0.38;15.24438;-6.822115;
0.4;2.582512;-5.357841;
0.42;-3.580197;-4.770591;
0.44;-15.99317;-3.606642;
0.46;-34.04802;-2.115554;
0.48;-45.92821;-1.234301;
0.5;-57.34237;-0.4633814;
0.52;-62.86066;-0.1942177;
0.54;-73.96015;0.1528206;
0.56;-93.96703;0.9003924;
0.58;-98.32973;0.9629601;
0.6;-107.0219;1.885311;
0.62;-114.8865;2.981653;
0.64;-118.4897;3.445213;
0.66;-130.615;5.70818;
0.68;-136.1237;6.406465;
0.7;-138.5596;6.61659;
0.72;-142.8385;7.295522;
0.74;-148.4756;9.278499;
0.76;-152.1728;10.73643;
0.78;-154.8998;11.27856;
0.8;-156.4188;10.86456;
0.82;-156.9739;10.60411;
0.84;-158.8542;10.82969;
0.86;-158.9502;10.78625;
0.88;-159.0164;10.80817;
0.9;-158.9596;10.96707;
0.92;-158.8117;10.65703;
0.94;-156.548;6.571212;
0.96;-154.3992;5.086832;
0.98;-153.149;4.478457;
1;-150.5206;2.960829;
1.02;-146.7077;0.8981517;
1.04;-140.9091;-2.655354;
1.06;-136.0966;-5.946267;
1.08;-133.3923;-7.237426;
1.1;-127.34;-9.656772;
1.12;-120.5595;-12.55946;
1.14;-108.1374;-16.58;
1.16;-98.81348;-19.05008;
1.18;-94.0565;-20.27758;
1.2;-83.79199;-22.69454;
1.22;-73.26053;-24.89549;
1.24;-57.8603;-27.94049;
1.26;-47.99062;-29.25071;
1.28;-38.87654;-30.02669;
