Time in ms;Pos hand in x;Pos hand in z;
0;0;0;
0.02;0;0;
0.04;0;0;
0.06;0;0;
0.08;0;0;
0.09999999;0;0;
0.12;0;0;
0.14;0;0;
0.16;0;0;
0.18;0;0;
0.2;0;0;
0.22;0;0;
0.24;0;0;
0.26;0;0;
0.28;0;0;
0.3;0;0;
0.32;0;0;
0.34;0;0;
0.36;0;0;
0.38;0;0;
0.4;0;0;
0.42;0;0;
0.44;0;0;
0.46;0;0;
0.48;0;0;
0.5;0;0;
0.52;0;0;
0.54;0;0;
0.56;0;0;
0.58;0;0;
0.6;0;0;
0.62;0;0;
0.64;0;0;
0.66;0;0;
0.68;0;0;
0.7;0;0;
0.72;0;0;
0.74;0;0;
0.76;0;0;
0.78;0;0;
0.8;0;0;
0.82;45.17639;-36.57037;
0.84;31.2162;-37.67091;
0.86;18.4347;-39.02811;
0.88;12.39706;-39.6584;
0.9;-8.711073;-44.25322;
0.92;-13.04259;-46.01382;
0.94;-20.7602;-50.50659;
0.96;-26.25435;-55.31089;
0.98;-32.85875;-65.15145;
1;-35.21912;-72.26217;
1.02;-35.80523;-75.82156;
1.04;-36.60169;-83.00597;
1.06;-36.42989;-89.34901;
1.08;-34.7441;-98.63774;
1.1;-32.96871;-104.0778;
1.12;-30.91126;-108.3909;
1.14;-29.65308;-109.9645;
1.16;-27.31431;-112.9573;
1.18;-23.3223;-117.5332;
1.2;-22.43933;-118.3711;
1.22;-20.8522;-119.906;
1.24;-19.41476;-122.0788;
1.26;-18.88641;-122.9021;
1.28;-16.11126;-126.0614;
1.3;-14.5398;-127.6413;
1.32;-13.71506;-128.1852;
1.34;-11.69264;-129.4626;
1.36;-9.469625;-130.6498;
1.38;-6.328762;-134.2808;
1.4;-4.35026;-135.9231;
1.42;-3.331851;-136.8621;
1.44;-1.620997;-138.5107;
1.46;-0.4841664;-139.3517;
1.48;0.04246154;-140.8404;
1.5;-0.03691404;-141.8978;
1.52;-0.7633612;-143.668;
