Time in ms;Pos hand in x;
0;0;
0.02;0;
0.04;47.66024;
0.06;47.66024;
0.08;47.91449;
0.09999999;48.39613;
0.12;48.6977;
0.14;48.85128;
0.16;49.43018;
0.18;49.7449;
0.2;49.87616;
0.22;50.0379;
0.24;50.11112;
0.26;50.18511;
0.28;50.21526;
0.3;50.26325;
0.32;50.28606;
0.34;50.34928;
0.36;50.44121;
0.38;50.52736;
0.4;50.57823;
0.42;50.57588;
0.44;50.54153;
0.46;49.73668;
0.48;49.26058;
0.5;47.75051;
0.52;45.72939;
0.54;42.37431;
0.56;39.98997;
0.58;38.73003;
0.6;36.24211;
0.62;34.18787;
0.64;30.95944;
0.66;29.18961;
0.68;27.91707;
0.7;26.94447;
0.72;26.3609;
0.74;25.59146;
0.76;25.58482;
0.78;25.59829;
0.8;25.70741;
0.82;25.82377;
0.84;26.41532;
0.86;26.94677;
0.88;27.2573;
0.9;27.68846;
0.92;28.09353;
0.94;28.61192;
0.96;28.99899;
0.98;29.16966;
1;29.50498;
1.02;29.77128;
1.04;30.18092;
1.06;30.37884;
1.08;30.47476;
1.1;30.70787;
1.12;30.87282;
1.14;30.87947;
1.16;30.90001;
1.18;30.90932;
1.2;30.92118;
1.22;30.98146;
1.24;30.99918;
1.26;31.0625;
1.28;31.16855;
1.3;31.35173;
1.32;31.67343;
1.34;31.7745;
1.36;31.80674;
1.38;31.87594;
1.4;32.01577;
1.42;32.08332;
1.44;32.12257;
1.46;32.13981;
1.48;32.147;
1.5;32.15012;
1.52;32.07327;
1.54;32.07615;
1.56;32.10699;
1.58;32.12683;
1.6;32.1329;
1.62;32.17986;
1.64;32.23313;
1.66;32.35616;
1.68;32.47451;
1.7;32.68491;
1.72;32.81951;
1.74;32.96167;
1.76;33.03122;
1.78;33.16076;
1.8;33.38935;
1.82;33.57356;
1.84;33.72066;
1.86;33.82404;
1.88;33.92642;
1.9;34.38869;
1.92;34.537;
1.94;35.04994;
1.96;35.82884;
1.98;36.53875;
2;42.41689;
2.02;44.62093;
2.04;49.85866;
2.06;57.51962;
2.08;62.21533;
2.1;87.48496;
2.12;102.8263;
2.14;110.8128;
2.16;126.9896;
2.18;151.7408;
2.2;166.7185;
2.22;179.2036;
2.24;193.4142;
2.26;199.5738;
2.28;226.3054;
2.3;232.4164;
2.32;238.3349;
2.34;241.0722;
2.36;244.0061;
2.38;241.9133;
2.4;240.7718;
2.42;0;
2.44;0;
2.46;0;
2.48;0;
2.5;0;
2.52;0;
2.54;0;
2.56;0;
2.58;0;
2.6;0;
2.62;0;
2.64;0;
2.66;0;
2.68;0;
2.7;0;
2.72;0;
2.74;0;
2.76;0;
2.78;0;
2.8;0;
2.82;0;
2.84;0;
2.86;0;
2.88;0;
2.9;0;
2.92;0;
2.94;0;
2.96;0;
2.98;0;
3;165.4199;
3.02;165.4149;
3.04;156.7731;
3.06;125.4847;
3.08;119.0802;
3.1;107.6305;
3.12;104.0053;
3.14;98.58372;
3.16;95.40213;
3.18;99.75909;
3.2;106.5863;
3.22;114.7961;
3.24;119.6973;
3.26;142.1584;
3.28;154.9233;
3.3;161.3373;
3.32;173.6387;
3.34;190.8684;
3.36;200.6196;
3.38;206.6151;
3.4;209.5907;
3.42;211.2162;
3.44;211.9331;
3.46;211.5441;
3.48;209.4002;
3.5;205.7704;
3.52;202.4022;
3.54;197.4143;
3.56;194.8081;
3.58;193.7422;
3.6;192.4362;
3.62;191.2402;
3.64;190.1375;
3.66;189.8856;
3.68;189.0186;
3.7;188.5313;
3.72;186.9262;
3.74;183.6278;
3.76;181.9731;
3.78;179.5019;
3.8;177.5848;
3.82;173.223;
3.84;163.767;
3.86;161.1613;
3.88;156.2055;
3.9;151.4728;
3.92;144.7405;
3.94;139.6629;
3.96;136.8023;
3.98;131.3661;
4;125.9828;
4.02;118.4951;
4.04;114.0844;
4.06;110.1333;
4.08;108.0097;
4.1;104.028;
4.12;97.48321;
4.14;92.72178;
4.16;87.63637;
4.18;82.26102;
4.2;79.10506;
4.22;65.56686;
4.24;61.79989;
