Time in ms;Pos hand in x;
0;0;
0.02;0;
0.04;81.85219;
0.06;81.85219;
0.08;81.85219;
0.09999999;81.85219;
0.12;81.85219;
0.14;81.85219;
0.16;81.85219;
0.18;81.85219;
0.2;81.85219;
0.22;81.85219;
0.24;81.85219;
0.26;75.51341;
0.28;75.51341;
0.3;75.51341;
0.32;75.51341;
0.34;62.00546;
0.36;49.42519;
0.38;37.79832;
0.4;27.52254;
0.42;18.62776;
0.44;10.9877;
0.46;1.673449;
0.48;-3.335999;
0.5;-7.606366;
0.52;-11.204;
0.54;-14.07887;
0.56;-17.71321;
0.58;-19.04474;
0.6;-19.79309;
0.62;-19.97166;
0.64;-20.08428;
0.66;-20.44205;
0.68;-21.55103;
0.7;-24.21412;
0.72;-28.38537;
0.74;-35.63571;
0.76;-40.62356;
0.78;-45.20706;
0.8;-49.3171;
0.82;-52.74878;
0.84;-56.59423;
0.86;-57.56874;
0.88;-57.95335;
0.9;-57.79689;
0.92;-56.72609;
0.94;-52.13402;
0.96;-50.49562;
0.98;-47.2165;
1;-43.55013;
1.02;-39.92812;
1.04;-34.29729;
1.06;-30.76519;
1.08;-27.41233;
1.1;-24.37534;
1.12;-21.41038;
1.14;-18.03392;
1.16;-16.39512;
1.18;-15.08061;
1.2;-14.22631;
1.22;-13.91826;
1.24;-13.59461;
1.26;-13.60834;
1.28;-13.7648;
1.3;-14.03602;
1.32;-14.28325;
1.34;-14.2839;
1.36;-14.19461;
1.38;-13.81844;
1.4;-13.24208;
1.42;-12.13969;
1.44;-11.54501;
1.46;-11.16479;
1.48;-10.96622;
1.5;-10.96303;
1.52;-11.47414;
1.54;-11.70924;
1.56;-12.38239;
1.58;-13.03366;
1.6;-13.56528;
1.62;-14.37139;
1.64;-14.53043;
1.66;-14.80826;
1.68;-14.99571;
1.7;-15.10083;
1.72;-15.22218;
1.74;-15.25344;
1.76;-15.21948;
1.78;-15.1937;
1.8;-15.12003;
1.82;-14.91103;
1.84;-14.8129;
1.86;-14.5728;
1.88;-14.2961;
1.9;-13.92061;
1.92;-13.00077;
1.94;-12.12216;
1.96;-10.94705;
1.98;-9.48363;
2;-5.794488;
2.02;-4.763495;
2.04;-2.395688;
2.06;0.323526;
2.08;3.126188;
2.1;8.642922;
2.12;10.18469;
2.14;13.13939;
2.16;16.05864;
2.18;18.67286;
2.2;22.36787;
2.22;22.8879;
2.24;23.70184;
2.26;24.61298;
2.28;25.72256;
2.3;27.96228;
2.32;28.47317;
2.34;29.46132;
2.36;30.55312;
2.38;30.55312;
2.4;33.99059;
2.42;34.63166;
2.44;36.00011;
2.46;37.39628;
2.48;39.93654;
2.5;41.03598;
2.52;41.91935;
2.54;42.30795;
2.56;43.10822;
2.58;44.36462;
2.6;44.68221;
2.62;45.37256;
2.64;46.07392;
2.66;46.75698;
2.68;47.98519;
2.7;48.67491;
2.72;49.04144;
2.74;50.0471;
2.76;50.83647;
2.78;52.70646;
2.8;53.70751;
2.82;54.21951;
2.84;55.15205;
2.86;56.0245;
2.88;57.11362;
2.9;57.48645;
2.92;57.77109;
2.94;57.85163;
2.96;57.89338;
2.98;57.28191;
3;56.3973;
3.02;55.81574;
3.04;54.47258;
3.06;51.15754;
3.08;49.37523;
3.1;47.55375;
3.12;46.61088;
3.14;45.17847;
3.16;42.32555;
3.18;41.07129;
3.2;40.01915;
3.22;39.45671;
3.24;38.35555;
3.26;35.84024;
3.28;34.35529;
3.3;32.70959;
3.32;31.7802;
3.34;29.51624;
3.36;23.29702;
3.38;19.74481;
3.4;15.95255;
3.42;14.10991;
3.44;10.59647;
3.46;4.298876;
3.48;1.961076;
3.5;0.1922422;
3.52;0.1922422;
3.54;-2.406786;
3.56;-2.812566;
3.58;-2.915616;
3.6;-2.860146;
3.62;-2.738012;
3.64;-1.183532;
3.66;-0.1614664;
3.68;0.9494091;
3.7;2.048611;
3.72;2.663809;
3.74;4.714144;
3.76;5.731224;
3.78;6.653653;
3.8;7.569352;
3.82;8.430092;
3.84;9.715178;
3.86;10.48522;
3.88;11.23219;
