Time in ms;Pos hand in x;
0;0;
0.02;0;
0.04;0;
0.06;0;
0.08;0;
0.09999999;0;
0.12;0;
0.14;0;
0.16;0;
0.18;0;
0.2;0;
0.22;0;
0.24;0;
0.26;0;
0.28;0;
0.3;0;
0.32;0;
0.34;0;
0.36;0;
0.38;0;
0.4;0;
0.42;0;
0.44;0;
0.46;0;
0.48;0;
0.5;0;
0.52;0;
0.54;0;
0.56;0;
0.58;0;
0.6;0;
0.62;0;
0.64;0;
0.66;0;
0.68;0;
0.7;0;
0.72;0;
0.74;0;
0.76;0;
0.78;0;
0.8;0;
0.82;0;
0.84;0;
0.86;0;
0.88;0;
0.9;0;
0.92;0;
0.94;0;
0.96;0;
0.98;0;
1;0;
1.02;0;
1.04;0;
1.06;0;
1.08;0;
1.1;0;
1.12;0;
1.14;0;
1.16;0;
1.18;0;
1.2;0;
1.22;0;
1.24;0;
1.26;0;
1.28;0;
1.3;0;
1.32;0;
1.34;0;
1.36;0;
1.38;0;
1.4;0;
1.42;0;
1.44;0;
1.46;0;
1.48;0;
1.5;0;
1.52;0;
1.54;0;
1.56;0;
1.58;133.1111;
1.6;118.119;
1.62;109.5567;
1.64;102.4132;
1.66;95.86633;
1.68;89.82685;
1.7;69.0272;
1.72;59.20938;
1.74;54.76175;
1.76;43.59604;
1.78;36.9744;
1.8;24.79797;
1.82;21.64361;
1.84;19.44923;
1.86;18.02346;
1.88;16.81134;
1.9;16.5029;
1.92;16.58395;
1.94;16.66941;
1.96;16.87492;
1.98;17.09354;
2;17.14737;
2.02;16.81003;
2.04;16.3763;
2.06;14.92455;
2.08;10.50978;
2.1;9.231697;
2.12;6.481185;
2.14;4.002345;
2.16;2.722838;
2.18;-0.9912496;
2.2;-2.086048;
2.22;-2.573154;
2.24;-3.235827;
2.26;-3.710446;
2.28;-3.630216;
2.3;-2.863784;
2.32;-2.230268;
2.34;-0.4677781;
2.36;1.852041;
2.38;5.811136;
2.4;8.297176;
2.42;10.7148;
2.44;11.81696;
2.46;14.54502;
2.48;14.66496;
2.5;14.59107;
2.52;13.35592;
2.54;10.09043;
2.56;3.332217;
2.58;-1.958693;
2.6;-4.613417;
2.62;-10.20013;
2.64;-15.71521;
2.66;-23.60268;
2.68;-28.49109;
2.7;-32.96469;
2.72;-35.11374;
2.74;-39.16036;
2.76;-44.86329;
2.78;-47.95693;
2.8;-51.08178;
2.82;-53.58843;
2.84;-54.24763;
2.86;-56.9766;
2.88;-57.48964;
2.9;-58.48012;
2.92;-58.86267;
2.94;-59.02047;
2.96;-59.19702;
2.98;-59.88336;
3;-60.16421;
3.02;-60.61893;
3.04;-61.16269;
3.06;-61.4492;
3.08;-61.81093;
3.1;-62.23188;
3.12;-62.8732;
3.14;-64.6917;
3.16;-65.23306;
3.18;-66.49616;
3.2;-67.41371;
3.22;-67.65207;
3.24;-71.96609;
3.26;-72.95837;
3.28;-73.34797;
3.3;-74.13029;
3.32;-75.40154;
3.34;-77.64445;
3.36;-78.70225;
3.38;-80.02959;
3.4;-80.79355;
3.42;-81.61304;
3.44;-81.98666;
3.46;-81.87029;
3.48;-80.98976;
3.5;-79.19521;
3.52;-75.52893;
3.54;-70.8571;
3.56;-68.9661;
3.58;-64.5968;
3.6;-61.28667;
3.62;-55.50266;
3.64;-52.35547;
3.66;-47.33931;
3.68;-44.8336;
3.7;-39.86361;
3.72;-34.29299;
3.74;-30.06666;
3.76;-25.48875;
3.78;-21.78273;
3.8;-20.28494;
3.82;-15.75354;
3.84;-14.97434;
3.86;-13.84085;
3.88;-12.94205;
3.9;-12.57029;
3.92;-12.37982;
3.94;-12.48594;
3.96;-12.60429;
3.98;-12.91117;
4;-13.28329;
4.02;-14.00784;
4.04;-14.57704;
4.06;-15.0617;
4.08;-15.3502;
4.1;-16.844;
4.12;-17.00539;
4.14;-17.22477;
4.16;-17.47632;
4.18;-17.68384;
4.2;-17.84356;
4.22;-17.90895;
4.24;-17.9399;
4.26;-17.96715;
4.28;-17.94703;
4.3;-17.75836;
4.32;-17.61758;
4.34;-17.33635;
