Time in ms;Pos hand in x;
0;0;
0.02;0;
0.04;78.71419;
0.06;78.71419;
0.08;78.71419;
0.09999999;78.71419;
0.12;78.71419;
0.14;78.71419;
0.16;78.71419;
0.18;78.71419;
0.2;78.71419;
0.22;78.71419;
0.24;78.71419;
0.26;68.70448;
0.28;51.65041;
0.3;44.33522;
0.32;37.76874;
0.34;34.68556;
0.36;28.93478;
0.38;21.28105;
0.4;21.28105;
0.42;9.806587;
0.44;7.973601;
0.46;4.432102;
0.48;-2.01975;
0.5;-5.136913;
0.52;-6.415535;
0.54;-8.859084;
0.56;-13.61235;
0.58;-15.93599;
0.6;-18.12694;
0.62;-19.10969;
0.64;-21.74103;
0.66;-28.7919;
0.68;-33.38771;
0.7;-38.74824;
0.72;-44.42226;
0.74;-47.38472;
0.76;-58.19251;
0.78;-62.69476;
0.8;-66.41809;
0.82;-69.45309;
0.84;-71.41774;
0.86;-75.1202;
0.88;-76.53375;
0.9;-76.99;
0.92;-77.13094;
0.94;-77.10937;
0.96;-76.8285;
0.98;-75.58899;
1;-75.15984;
1.02;-74.07386;
1.04;-72.85783;
1.06;-71.37695;
1.08;-69.90178;
1.1;-67.69064;
1.12;-66.19479;
1.14;-64.67061;
1.16;-63.28272;
1.18;-61.16462;
1.2;-59.79024;
1.22;-58.33616;
1.24;-56.92622;
1.26;-55.29065;
1.28;-52.68943;
1.3;-52.01938;
1.32;-50.58271;
1.34;-49.15351;
1.36;-47.77907;
1.38;-45.69057;
1.4;-44.21922;
1.42;-42.67369;
1.44;-41.23655;
1.46;-39.9866;
1.48;-37.62697;
1.5;-37.07851;
1.52;-36.18324;
1.54;-35.77242;
1.56;-34.75331;
1.58;-33.12379;
1.6;-32.67796;
1.62;-32.01478;
1.64;-31.45555;
1.66;-30.70057;
1.68;-30.48984;
1.7;-30.41892;
1.72;-30.31459;
1.74;-30.25118;
1.76;-30.23919;
1.78;-30.26083;
1.8;-30.37521;
1.82;-30.56758;
1.84;-30.89718;
1.86;-31.7865;
1.88;-32.02108;
1.9;-32.57731;
1.92;-33.10962;
1.94;-33.58655;
1.96;-34.4339;
1.98;-34.5573;
2;-34.71733;
2.02;-34.81776;
2.04;-34.85912;
2.06;-34.81672;
2.08;-34.64278;
2.1;-34.53359;
2.12;-34.29621;
2.14;-34.05606;
2.16;-33.63652;
2.18;-33.52765;
2.2;-33.32446;
2.22;-33.04815;
2.24;-32.61127;
2.26;-29.95036;
2.28;-28.5154;
2.3;-24.83697;
2.32;-20.39157;
2.34;-7.90146;
2.36;-0.6092256;
2.38;3.429542;
2.4;11.71773;
2.42;20.26869;
2.44;38.77147;
2.46;48.74068;
2.48;53.85816;
2.5;64.07466;
2.52;74.55723;
2.54;96.70034;
2.56;102.2713;
2.58;113.67;
2.6;124.7934;
2.62;135.7005;
2.64;155.984;
2.66;165.6852;
2.68;170.0165;
2.7;170.0165;
2.72;186.7898;
2.74;200.5785;
2.76;207.4276;
2.78;210.0437;
2.8;215.0483;
2.82;219.8478;
2.84;221.2962;
2.86;221.7962;
2.88;223.8372;
2.9;224.1453;
2.92;223.7515;
2.94;223.6021;
2.96;222.9202;
2.98;221.9319;
3;219.4263;
3.02;212.7743;
3.04;208.0104;
3.06;202.348;
3.08;198.9373;
3.1;191.208;
3.12;172.6498;
3.14;162.2672;
3.16;152.0448;
3.18;147.231;
3.2;138.2906;
3.22;122.8382;
3.24;116.9604;
3.26;112.8624;
3.28;111.4343;
3.3;109.853;
3.32;113.2814;
3.34;118.089;
3.36;121.5221;
3.38;129.0014;
3.4;138.3521;
3.42;163.8649;
3.44;0;
3.46;0;
3.48;0;
3.5;0;
3.52;0;
3.54;0;
3.56;0;
3.58;0;
3.6;0;
3.62;0;
3.64;0;
3.66;0;
3.68;0;
3.7;0;
3.72;0;
3.74;0;
3.76;0;
3.78;0;
3.8;0;
3.82;0;
3.84;0;
3.86;0;
3.88;0;
3.9;0;
3.92;0;
3.94;0;
3.96;0;
3.98;0;
4;0;
4.02;0;
4.04;0;
4.06;0;
4.08;0;
4.1;0;
4.12;0;
4.14;0;
4.16;0;
4.18;0;
4.2;0;
4.22;0;
4.24;0;
4.26;0;
4.28;0;
4.3;0;
4.32;0;
4.34;0;
4.36;0;
4.38;0;
4.4;0;
4.42;0;
4.44;0;
4.46;0;
