Time in ms;Pos hand in x;Pos hand in z;
4.02;-10.01927;31.35303;
4.04;-10.07765;35.37086;
4.06;-10.06781;39.7164;
4.08;-9.64835;47.4726;
4.1;-9.604123;49.10748;
4.12;-9.772395;51.17599;
4.14;-9.170171;53.81554;
4.16;-9.109977;55.08553;
4.18;-7.119175;60.7402;
4.2;-6.568678;63.38925;
4.22;-5.911405;65.1965;
4.24;-5.582709;65.97745;
4.26;-4.604306;67.48681;
4.28;-2.307412;71.1457;
4.3;-1.859762;72.77513;
4.32;-1.39199;73.91385;
4.34;-0.9551467;76.12396;
4.36;-0.2888882;78.25266;
4.38;-0.7012876;82.64497;
4.4;-0.2075796;85.49432;
4.42;-0.2453414;87.53301;
4.44;0.4348303;89.17101;
4.46;0.675795;90.24368;
4.48;0.233252;95.81757;
4.5;0.937528;98.80369;
4.52;-0.7060441;100.6587;
4.54;-0.830308;99.87076;
4.56;-2.303781;97.97189;
4.58;-4.12957;97.39371;
4.6;-5.871363;95.92151;
4.62;-6.052862;95.40602;
4.64;-6.245123;93.5147;
4.66;1.918765;88.94291;
4.68;3.850514;86.63511;
4.7;6.078937;83.18615;
4.72;7.176038;81.84873;
4.74;7.50615;80.70387;
4.76;8.853518;80.02018;
4.78;8.744159;80.43726;
4.8;8.277002;77.57535;
4.82;8.327203;73.88425;
4.84;8.286859;72.67373;
4.86;8.796101;72.59437;
4.88;8.854621;72.50372;
4.9;8.792539;72.69649;
4.92;8.813429;72.82532;
4.94;8.419321;73.30914;
4.96;6.807556;78.14826;
4.98;6.663431;80.67928;
5;6.68954;81.77303;
5.02;6.790027;80.43691;
5.04;7.005654;79.26939;
5.06;7.82777;72.20931;
5.08;7.163968;68.08762;
5.1;7.651397;63.87555;
5.12;6.901853;60.83566;
5.14;4.932082;46.84727;
5.16;4.5877;39.63275;
5.18;4.743228;35.97114;
5.2;4.111371;27.57277;
5.22;3.732309;19.44913;
5.24;3.94747;3.936697;
5.26;3.202558;0.1809269;
5.28;2.687665;-7.47762;
5.3;2.528599;-14.70768;
5.32;2.218702;-17.7835;
5.34;1.872662;-30.35722;
5.36;1.899558;-34.84412;
5.38;1.833964;-39.71376;
5.4;1.687138;-42.10641;
5.42;0.7970392;-46.42366;
5.44;0.4051342;-55.65703;
5.46;0.8571001;-57.77811;
5.48;1.678416;-61.82193;
5.5;1.8719;-65.63271;
5.52;1.854203;-69.41434;
5.54;2.228914;-75.29785;
5.56;2.311095;-78.68814;
5.58;2.578464;-81.7118;
5.6;2.38399;-84.42434;
5.62;2.105401;-85.60828;
5.64;0.9995166;-90.58358;
5.66;0.4173653;-92.91618;
5.68;-0.1046617;-95.89656;
5.7;-0.292117;-97.32735;
5.72;-1.638504;-103.0235;
5.74;-2.53201;-106.1755;
5.76;-3.061218;-107.4932;
5.78;-3.519044;-109.7047;
5.8;-3.779012;-111.9557;
5.82;-4.697538;-115.4469;
5.84;-4.73519;-115.9004;
5.86;-5.171185;-116.9269;
5.88;-5.33045;-117.2579;
5.9;-5.739368;-117.813;
5.92;-6.094006;-118.2727;
5.94;-6.183164;-118.3142;
5.96;-6.358781;-118.4082;
5.98;-6.604613;-118.4002;
6;-6.72982;-118.3985;
6.02;-6.838594;-118.0629;
6.04;-6.751276;-117.8567;
6.06;-6.687126;-117.7873;
6.08;-6.625277;-117.6378;
6.1;-6.625387;-117.6195;
6.12;-6.601068;-117.3233;
6.14;-6.49744;-117.1132;
6.16;-6.45398;-117.0821;
6.18;-6.49121;-116.9763;
6.2;-6.502642;-116.9712;
