Time in ms;Pos hand in x;
0;0;
0.02;0;
0.04;0;
0.06;0;
0.08;0;
0.09999999;0;
0.12;0;
0.14;0;
0.16;0;
0.18;0;
0.2;0;
0.22;0;
0.24;0;
0.26;0;
0.28;0;
0.3;0;
0.32;0;
0.34;0;
0.36;0;
0.38;0;
0.4;0;
0.42;134.0803;
0.44;134.0757;
0.46;129.585;
0.48;116.6623;
0.5;93.15146;
0.52;81.41662;
0.54;75.77826;
0.56;64.85751;
0.58;54.69855;
0.6;37.13385;
0.62;29.8281;
0.64;26.61754;
0.66;21.01239;
0.68;16.08849;
0.7;8.030084;
0.72;4.167987;
0.74;2.288888;
0.76;-1.812986;
0.78;-6.460376;
0.8;-16.84413;
0.82;-21.98476;
0.84;-26.65437;
0.86;-28.77331;
0.88;-35.12047;
0.9;-37.21663;
0.92;-38.37955;
0.94;-39.05505;
0.96;-39.22097;
0.98;-39.12786;
1;-38.39798;
1.02;-37.98009;
1.04;-37.09074;
1.06;-36.31152;
1.08;-35.56434;
1.1;-35.30983;
1.12;-35.24657;
1.14;-35.21414;
1.16;-35.21973;
1.18;-35.24262;
1.2;-35.28179;
1.22;-35.29153;
1.24;-35.23907;
1.26;-35.13038;
1.28;-34.8822;
1.3;-34.14425;
1.32;-33.41412;
1.34;-32.566;
1.36;-31.59207;
1.38;-31.11052;
1.4;-29.12907;
1.42;-27.85528;
1.44;-26.46716;
1.46;-24.81284;
1.48;-23.29943;
1.5;-20.83789;
1.52;-19.2037;
1.54;-17.53988;
1.56;-15.87108;
1.58;-13.42334;
1.6;-11.88444;
1.62;-10.26144;
1.64;-8.53992;
1.66;-6.780509;
1.68;-3.998387;
1.7;-1.413859;
1.72;1.355783;
1.74;4.899729;
1.76;6.705956;
1.78;15.34871;
1.8;20.40096;
1.82;25.67125;
1.84;31.10257;
1.86;33.7823;
1.88;44.28169;
1.9;49.54313;
1.92;54.26114;
1.94;58.50695;
1.96;60.57145;
1.98;67.60499;
2;70.5276;
2.02;73.12495;
2.04;75.62888;
2.06;78.36457;
2.08;79.7823;
2.1;81.31617;
2.12;82.41104;
2.14;83.34702;
2.16;84.38242;
2.18;84.98162;
2.2;85.40292;
2.22;85.66628;
2.24;85.81296;
2.26;86.10053;
2.28;86.35461;
2.3;86.58672;
2.32;86.79684;
2.34;86.9917;
2.36;87.43639;
2.38;87.85278;
2.4;88.30097;
2.42;89.21204;
2.44;90.11248;
2.46;91.72029;
2.48;93.18353;
2.5;94.52744;
2.52;95.82351;
2.54;96.95028;
2.56;98.41872;
2.58;99.20143;
2.6;99.71137;
2.62;100.0176;
2.64;100.1932;
2.66;100.162;
2.68;100.0321;
2.7;99.74218;
2.72;99.3149;
2.74;98.23055;
2.76;97.90261;
2.78;97.28038;
2.8;96.63848;
2.82;96.0694;
2.84;94.75265;
2.86;94.38715;
2.88;93.35541;
2.9;92.1534;
2.92;90.64977;
2.94;87.92754;
2.96;85.71041;
2.98;83.11799;
3;80.2334;
3.02;77.53941;
3.04;71.14127;
3.06;69.45127;
3.08;65.836;
3.1;62.11968;
3.12;58.2731;
3.14;50.35785;
3.16;48.31104;
3.18;44.60799;
3.2;40.87899;
3.22;33.56687;
3.24;30.441;
3.26;28.99095;
3.28;26.30811;
3.3;23.65358;
3.32;18.40537;
3.34;17.1736;
3.36;14.67449;
3.38;12.21511;
3.4;12.21511;
3.42;5.59109;
3.44;4.36414;
3.46;1.735037;
3.48;-0.7362513;
3.5;-3.725722;
3.52;-10.23235;
3.54;-12.1556;
3.56;-16.185;
3.58;-20.21146;
3.6;-24.29263;
3.62;-32.44923;
3.64;-36.22309;
3.66;-40.00475;
3.68;-41.61163;
3.7;-44.78;
3.72;-49.77798;
3.74;-51.84217;
3.76;-53.3837;
3.78;-54.07172;
3.8;-55.1345;
3.82;-56.86977;
3.84;-57.44167;
3.86;-57.85185;
3.88;-58.19158;
3.9;-58.32629;
3.92;-58.70603;
3.94;-58.85518;
3.96;-58.95972;
3.98;-59.00164;
4;-59.1037;
4.02;-59.21195;
4.04;-59.24428;
