Time in ms;Pos hand in x;Pos hand in z;
0;0;0;
0.02;0;0;
0.04;0;0;
0.06;0;0;
0.08;0;0;
0.09999999;0;0;
0.12;0;0;
0.14;0;0;
0.16;0;0;
0.18;0;0;
0.2;0;0;
0.22;0;0;
0.24;0;0;
0.26;0;0;
0.28;0;0;
0.3;0;0;
0.32;0;0;
0.34;0;0;
0.36;0;0;
0.38;0;0;
0.4;0;0;
0.42;0;0;
0.44;0;0;
0.46;0;0;
0.48;0;0;
0.5;0;0;
0.52;0;0;
0.54;0;0;
0.56;0;0;
0.58;0;0;
0.6;0;0;
0.62;0;0;
0.64;0;0;
0.66;88.0942;16.60382;
0.68;88.08215;16.60653;
0.7;59.01517;23.08732;
0.72;38.81827;26.2119;
0.74;38.81827;26.2119;
0.76;7.841816;23.36239;
0.78;-5.144961;19.41767;
0.8;-16.88616;14.55191;
0.82;-27.75495;10.58066;
0.84;-37.72491;7.091519;
0.86;-56.17209;-0.2080532;
0.88;-64.31075;-3.458332;
0.9;-71.38039;-6.79104;
0.92;-76.87865;-10.26713;
0.94;-81.063;-13.23645;
0.96;-84.42626;-16.25646;
0.98;-86.2247;-18.55246;
1;-86.82413;-20.42434;
1.02;-87.67417;-22.73004;
1.04;-87.47016;-25.29221;
1.06;-83.55958;-31.81466;
1.08;-80.65165;-37.2344;
1.1;-76.12711;-41.58409;
1.12;-71.5593;-47.98013;
1.14;-65.76252;-54.37044;
1.16;-59.67643;-62.77249;
1.18;-53.18168;-71.3543;
1.2;-47.20152;-80.65437;
1.22;-40.88894;-89.59517;
1.24;-28.77487;-103.5389;
1.26;-23.61137;-108.4417;
1.28;-19.02672;-112.1737;
1.3;-15.10841;-115.0411;
1.32;-12.17961;-117.6226;
1.34;-9.552402;-119.3192;
1.36;-6.990997;-120.6328;
1.38;-4.091094;-121.6307;
1.4;-1.297009;-122.4552;
1.42;1.795918;-123.0816;
1.44;8.786018;-124.0608;
1.46;12.62725;-124.4721;
