Time in ms;Pos hand in x;Pos hand in z;
0;0;0;
0.02;0;0;
0.04;0;0;
0.06;0;0;
0.08;0;0;
0.09999999;0;0;
0.12;0;0;
0.14;0;0;
0.16;0;0;
0.18;0;0;
0.2;0;0;
0.22;0;0;
0.24;0;0;
0.26;0;0;
0.28;0;0;
0.3;0;0;
0.32;0;0;
0.34;0;0;
0.36;0;0;
0.38;0;0;
0.4;0;0;
0.42;0;0;
0.44;0;0;
0.46;0;0;
0.48;0;0;
0.5;0;0;
0.52;74.16854;-55.34959;
0.54;49.45296;-49.14528;
0.56;34.25023;-45.11383;
0.58;19.94879;-41.13418;
0.6;6.8208;-37.27327;
0.62;-11.25753;-31.66999;
0.64;-22.01471;-28.51404;
0.66;-32.50428;-25.89551;
0.68;-42.98667;-24.44551;
0.7;-48.38663;-24.32026;
0.72;-70.38892;-23.81294;
0.74;-81.09816;-23.00227;
0.76;-91.16253;-23.18696;
0.78;-96.12331;-23.07134;
0.8;-105.2702;-22.7316;
0.82;-121.2199;-21.75694;
0.84;-127.9149;-21.03822;
0.86;-130.5585;-20.51611;
0.88;-135.8099;-20.15822;
0.9;-140.0252;-19.31911;
0.92;-144.8846;-18.12417;
0.94;-145.827;-18.74872;
0.96;-146.7076;-20.10369;
0.98;-147.7856;-21.68575;
1;-147.6698;-23.52384;
1.02;-147.5607;-25.02401;
1.04;-147.1749;-25.76778;
1.06;-146.6003;-26.01851;
1.08;-146.7172;-26.57297;
1.1;-144.6338;-28.5322;
1.12;-143.1849;-30.42216;
1.14;-141.5958;-30.96684;
1.16;-136.4982;-30.97679;
1.18;-130.2647;-31.38624;
1.2;-117.775;-31.4068;
1.22;-106.943;-31.38708;
1.24;-94.18619;-31.19433;
1.26;-79.32503;-30.6918;
1.28;-71.3792;-30.26604;
1.3;-37.84743;-28.19328;
1.32;-21.51509;-26.48719;
1.34;-13.37;-25.36384;
1.36;2.194453;-22.90404;
1.38;16.83823;-20.34209;
