Time in ms;Pos hand in x;
0;0;
0.02;0;
0.04;0;
0.06;0;
0.08;0;
0.09999999;0;
0.12;0;
0.14;0;
0.16;0;
0.18;0;
0.2;0;
0.22;0;
0.24;0;
0.26;0;
0.28;0;
0.3;0;
0.32;0;
0.34;0;
0.36;0;
0.38;0;
0.4;0;
0.42;0;
0.44;0;
0.46;0;
0.48;0;
0.5;0;
0.52;0;
0.54;0;
0.56;0;
0.58;0;
0.6;0;
0.62;0;
0.64;0;
0.66;0;
0.68;0;
0.7;97.0728;
0.72;69.63902;
0.74;43.12792;
0.76;32.02727;
0.78;11.34081;
0.8;-17.95269;
0.82;-25.14249;
0.84;-39.22395;
0.86;-51.80692;
0.88;-57.64531;
0.9;-78.36025;
0.92;-82.31713;
0.94;-89.6459;
0.96;-94.3111;
0.98;-98.54507;
1;-100.6984;
1.02;-100.6393;
1.04;-99.47977;
1.06;-98.39471;
1.08;-96.0592;
1.1;-91.3028;
1.12;-87.19985;
1.14;-82.81586;
1.16;-78.30407;
1.18;-71.16498;
1.2;-68.63709;
1.22;-63.20656;
1.24;-56.96054;
1.26;-49.84511;
1.28;-37.88375;
1.3;-28.51483;
1.32;-23.44274;
1.34;-12.61623;
1.36;-0.3944773;
1.38;19.58632;
1.4;34.27909;
1.42;49.92986;
1.44;58.01718;
1.46;74.82745;
1.48;99.7659;
1.5;120.8375;
1.52;137.5949;
1.54;155.7985;
1.56;164.2162;
1.58;195.7308;
1.6;203.6846;
1.62;205.1226;
1.64;0;
1.66;0;
1.68;0;
1.7;0;
1.72;0;
1.74;0;
1.76;0;
1.78;0;
1.8;0;
1.82;0;
1.84;0;
1.86;0;
1.88;0;
1.9;0;
1.92;0;
1.94;0;
1.96;0;
1.98;0;
2;0;
2.02;0;
2.04;0;
2.06;0;
2.08;0;
2.1;0;
2.12;0;
2.14;0;
2.16;0;
2.18;164.6588;
2.2;164.6544;
2.22;156.188;
2.24;147.4801;
2.26;107.1865;
2.28;99.69995;
2.3;93.05461;
2.32;76.4393;
2.34;66.1936;
2.36;59.61964;
2.38;58.70344;
2.4;59.24472;
2.42;60.57185;
2.44;64.62917;
2.46;68.07349;
2.48;74.00385;
2.5;79.7574;
2.52;82.13213;
2.54;95.11278;
2.56;98.38392;
2.58;104.7311;
2.6;109.7688;
2.62;112.1137;
2.64;114.8815;
2.66;114.6535;
2.68;111.797;
2.7;106.3093;
2.72;98.78415;
2.74;83.394;
2.76;71.1146;
2.78;64.34389;
2.8;50.42595;
2.82;22.64686;
2.84;16.80478;
2.86;5.643872;
2.88;-5.661195;
2.9;-11.13152;
2.92;-29.63537;
2.94;-34.47241;
2.96;-43.10786;
2.98;-51.05254;
3;-58.61433;
3.02;-69.06553;
3.04;-75.57693;
3.06;-78.32603;
3.08;-84.25447;
3.1;-89.0703;
3.12;-94.39487;
3.14;-96.77879;
3.16;-97.34296;
3.18;-98.01671;
3.2;-98.30105;
3.22;-97.60024;
3.24;-96.73547;
3.26;-95.08447;
3.28;-93.21419;
3.3;-92.40188;
3.32;-88.1189;
3.34;-86.57185;
3.36;-83.21494;
3.38;-80.39307;
3.4;-74.61546;
3.42;-71.84058;
3.44;-68.67741;
3.46;-66.99108;
3.48;-63.75889;
3.5;-59.11172;
3.52;-56.17347;
3.54;-53.40473;
3.56;-51.01438;
3.58;-49.88125;
3.6;-45.30935;
3.62;-44.17869;
3.64;-40.44577;
3.66;-37.28695;
3.68;-35.89438;
3.7;-27.47097;
3.72;-22.46399;
3.74;-19.00767;
3.76;-12.0797;
3.78;-3.76263;
3.8;10.73424;
3.82;21.83207;
3.84;33.72261;
3.86;40.5511;
3.88;54.41945;
3.9;77.27422;
3.92;92.35947;
3.94;107.8202;
3.96;115.4153;
3.98;143.8741;
4;150.7722;
4.02;163.7621;
4.04;176.1932;
4.06;186.9064;
4.08;202.3317;
4.1;211.5719;
4.12;215.3753;
4.14;222.6767;
4.16;228.4183;
4.18;234.884;
4.2;235.8926;
4.22;238.6098;
4.24;239.6995;
4.26;244.0186;
4.28;247.2108;
